train_scope,eval_scope,model,eval_rows,target_mean,target_max,baseline_MAE,baseline_RMSE,baseline_R2,MAE,RMSE,R2
2023_2024_전체학습,2025_전체,MLP,7778,5.988195808691181,753.346,2.309639110311134,13.049611575390973,0.6175470640024252,3.5950936016865733,16.651588542567236,0.3772780541874997
2023_2024_전체학습,2025_강우일,MLP,2190,13.388744292237444,753.346,5.304164383561643,24.460923637302706,0.5934207301004468,9.37063697406895,31.24254342121051,0.33672704061840764
2023_2024_전체학습,2025_강한강우,MLP,1334,19.220437781109442,753.346,7.728508995502249,31.27960608593568,0.5747186991778804,13.49741674979969,39.44697247147392,0.3236350540713606
2023_2024_전체학습,2025_장마철,MLP,2655,10.886660263653484,753.346,4.18823352165725,22.121684770332617,0.5974117373363292,7.025461682197958,27.90604685366546,0.3593492361337003
2023_2024_전체학습,2025_유입량증가상위5퍼센트,MLP,371,31.45563611859838,753.346,16.748733153638813,52.04273547514436,0.5461693940268657,16.373813367584415,45.25732474895553,0.6567968178797066
2023_2024_전체학습,2025_유입량상위5퍼센트,MLP,382,58.78225130890052,753.346,22.641628272251307,58.31080895749506,0.42544519102066813,33.94864930989888,72.91783700572716,0.10153557451554374
2023_2024_전체학습,2025_강한강우_그리고_유입량증가상위5퍼센트,MLP,202,52.54391089108911,753.346,27.71221782178218,70.43861107607626,0.502513703035907,26.433136369180776,61.18293208263547,0.6246640816035693
2023_2024_강우장마철학습,2025_전체,Ridge,7778,5.988195808691181,753.346,2.309639110311134,13.049611575390973,0.6175470640024252,2.8040058322977974,12.230627435713945,0.6640456232213336
2023_2024_강우장마철학습,2025_강우일,Ridge,2190,13.388744292237444,753.346,5.304164383561643,24.460923637302706,0.5934207301004468,6.486108042625492,22.861687453275348,0.6448465038611373
2023_2024_강우장마철학습,2025_강한강우,Ridge,1334,19.220437781109442,753.346,7.728508995502249,31.27960608593568,0.5747186991778804,9.371451266411913,29.10796473207176,0.6317206081436746
2023_2024_강우장마철학습,2025_장마철,Ridge,2655,10.886660263653484,753.346,4.18823352165725,22.121684770332617,0.5974117373363292,5.09838102027716,20.67225082305536,0.6484393637892263
2023_2024_강우장마철학습,2025_유입량증가상위5퍼센트,Ridge,371,31.45563611859838,753.346,16.748733153638813,52.04273547514436,0.5461693940268657,15.997173288847705,50.75674861924442,0.5683207855868881
2023_2024_강우장마철학습,2025_유입량상위5퍼센트,Ridge,382,58.78225130890052,753.346,22.641628272251307,58.31080895749506,0.42544519102066813,22.129728721926345,53.52397122815269,0.515905678730692
2023_2024_강우장마철학습,2025_강한강우_그리고_유입량증가상위5퍼센트,Ridge,202,52.54391089108911,753.346,27.71221782178218,70.43861107607626,0.502513703035907,25.66630565688318,68.64503455959738,0.5275261125136352
2023_2024_강우장마철학습,2025_전체,RandomForest,7778,5.988195808691181,753.346,2.309639110311134,13.049611575390973,0.6175470640024252,2.3992320966650644,12.71659082637606,0.636818076653697
